date,pm2_5_max,pm10_max,o3_max,temp_max,temp_min,precipitation,wind_speed,temp_range,day_of_year,month
2024-04-29,45.2,78.5,52.1,28.5,18.2,0.0,12.3,10.3,120,4
2024-04-30,48.1,82.3,54.6,29.1,19.0,0.5,11.8,10.100000000000001,121,4
2024-05-01,42.5,75.2,50.3,27.8,17.5,0.0,13.2,10.3,122,5
2024-05-02,51.3,85.6,58.2,30.2,20.1,0.0,10.5,10.099999999999998,123,5
2024-05-03,38.7,71.4,48.9,26.5,16.8,2.1,14.7,9.7,124,5
2024-05-04,55.6,92.1,61.5,31.5,21.3,0.0,9.8,10.2,125,5
2024-05-05,49.2,81.7,55.8,29.8,19.5,0.3,12.1,10.3,126,5
2024-05-06,44.1,76.9,52.4,28.2,18.5,0.0,13.5,9.7,127,5
2024-05-07,52.4,87.3,59.1,30.8,20.6,0.0,11.2,10.2,128,5
2024-05-08,46.8,79.5,53.7,29.3,19.1,0.8,12.8,10.2,129,5
2024-05-09,50.1,84.2,57.3,30.5,20.3,0.0,10.9,10.2,130,5
2024-05-10,41.5,72.6,49.8,27.1,17.2,1.5,14.2,9.900000000000002,131,5
2024-05-11,54.2,89.7,60.4,31.2,21.0,0.0,10.1,10.2,132,5
2024-05-12,47.6,80.8,54.9,29.5,19.3,0.2,12.5,10.2,133,5
2024-05-13,43.9,75.7,51.6,28.0,18.3,0.0,13.8,9.7,134,5
2024-05-14,53.1,88.4,59.6,31.0,20.8,0.0,10.6,10.2,135,5
2024-05-15,48.5,82.1,56.2,29.6,19.4,0.4,12.3,10.200000000000003,136,5
2024-05-16,45.3,77.3,53.1,28.4,18.6,0.0,13.2,9.799999999999997,137,5
2024-05-17,51.8,86.5,58.7,30.7,20.5,0.0,11.4,10.2,138,5
2024-05-18,42.1,73.2,50.1,27.3,17.4,1.2,14.5,9.900000000000002,139,5
2024-05-19,55.4,91.2,61.3,31.4,21.2,0.0,9.9,10.2,140,5
2024-05-20,49.8,83.6,56.8,30.0,19.7,0.3,12.0,10.3,141,5
2024-05-21,44.6,76.4,52.8,28.3,18.4,0.0,13.6,9.900000000000002,142,5
2024-05-22,52.7,87.8,59.5,30.9,20.7,0.0,11.1,10.2,143,5
2024-05-23,47.2,80.2,54.3,29.2,19.0,0.7,12.7,10.2,144,5
2024-05-24,41.8,72.1,49.4,27.0,17.1,1.8,14.3,9.899999999999999,145,5
2024-05-25,54.5,90.3,60.8,31.3,21.1,0.0,10.2,10.2,146,5
